http://www.watchfinder.co.uk/Rolex/Daytona/116500%20LN/29594/item/215900,Rolex,Daytona,Daytona,116500 LN,GBP,48995.00,48995.00,"Retail Price: £11,600",,"
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
215900
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
White
","
Water resistance
100 metres
","
                            The Rolex Daytona, named after the race circuit in Florida that hosts the Rolex twenty-four hour race, epitomises the ultimate driver’s watch. The dial, unburdened by a date window, is clear and easy to read. The tachymeter offers quick speed calculations, while the shape is instantly recognisable and supremely comfortable. Its smaller size and smart design makes it a versatile watch capable of working well with both casual jeans and a formal suit. Here available in steel with a stunning Cerachrom bezel, this watch represents the Daytona's first major upgrade in 16 years, but it sticks closely to the gorgeous retro design of the original.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Audemars%20Piguet/Royal%20Oak/67650ST.OO.1261ST.01/35454/item/215535,Audemars Piguet,Royal Oak,Royal Oak,67650ST.OO.1261ST.01,GBP,20995.00,20995.00,"Retail Price: £13,800",,"
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
215535
","

Movement


Quartz
","
Case size
33 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black Baton
","
Water resistance
50 metres
","This Audemars Piguet has undergone a thorough inspection of accuracy, functionality and condition at our Audemars Piguet certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Patek%20Philippe/Nautilus/5800/1A-001/7436/item/206491,Patek Philippe,Nautilus,Nautilus,5800/1A-001,GBP,119995.00,119995.00,Retail Price: Discontinued,,"
Year
Approx.  1998
","
Box
Yes
","

Papers


No
","
Product code
206491
","

Movement


Automatic
","
Case size
38.4 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Blue Baton
","
Water resistance
120 metres
","
                            High value watches such as this one remain in their sealed boxes due to a recent manufacturer service, ensuring they are not only protected but in the best possible condition when they reach the customer.

                                
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Patek%20Philippe/Nautilus/5800/1A-001/7436/item/204775,Patek Philippe,Nautilus,Nautilus,5800/1A-001,GBP,129995.00,129995.00,Retail Price: Discontinued,,"
Year
 2007
","
Box
Yes
","

Papers


Yes
","
Product code
204775
","

Movement


Automatic
","
Case size
38.4 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Blue Baton
","
Water resistance
None
","This Patek Philippe has undergone a thorough inspection of accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Hublot/Big%20Bang/301.PM.1780.RX/15871/item/213880,Hublot,Big Bang,Big Bang,301.PM.1780.RX,GBP,18750.00,18750.00,"Retail Price: £25,200"," Black 
","
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
213880
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Ceramic & Rose Gold
","
Bracelet material
Rubber - Black 
","
Dial type
Black Carbon
","
Water resistance
100 metres
","This Hublot has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Audemars%20Piguet/Royal%20Oak%20Offshore/25940OK.OO.D002CA.01.A/13024/item/211861,Audemars Piguet,Royal Oak Offshore,Royal Oak Offshore,25940OK.OO.D002CA.01.A,GBP,31995.00,31995.00,Retail Price: Discontinued," Black 
","
Year
 2009
","
Box
Yes
","

Papers


Yes
","
Product code
211861
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Rose Gold
","
Bracelet material
Rubber - Black 
","
Dial type
Grey Arabic
","
Water resistance
100 metres
","
                            The Audemars Piguet Royal Oak Offshore, first introduced in 1993 and designed by Emmanuel Gueit, takes the bold nature of the Royal Oak to the next level. It's the brand's sportiest collection, featuring large case sizes and striking or exaggerated designs. Often described as “larger-than-life”, the Offshore is visually impressive, with dramatic design cues that exaggerate and heighten those of its predecessor. The watch develops ideas from the original Royal Oak, pioneered by the legendary Gerald Genta in 1972. This is a remarkable example of one of the most iconic collections from an ultra-prestigious Swiss brand.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Sky-Dweller/326235/48396/item/202715,Rolex,Sky-Dweller,Sky-Dweller,326235,GBP,38500.00,38500.00,"Retail Price: £33,250"," Black 
","
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
202715
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Rose Gold
","
Bracelet material
Rubber - Black 
","
Dial type
White Baton
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Radiomir%20Manual/PAM00336/51224/item/189003,Panerai,Radiomir Manual,Radiomir Manual,PAM00336,GBP,8755.00,8755.00,Retail Price: Discontinued," Black 
","
Year
 2012
","
Box
Yes
","

Papers


Yes
","
Product code
189003
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Rose Gold
","
Bracelet material
Leather - Black 
","
Dial type
Brown Quarter Arabic
","
Water resistance
100 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Chronomat%2044%20GMT/AB0420/30143/item/219922,Breitling,Chronomat 44 GMT,Chronomat 44 GMT,AB0420,GBP,4175.00,4175.00,Retail Price: Discontinued,,"
Year
 2018
","
Box
No
","

Papers


Yes
","
Product code
219922
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Steel
","
Bracelet material
Steel (Pilot)
","
Dial type
Black Baton
","
Water resistance
200 metres
","
                            Patrouille Suisse is the acclaimed aerobatics team of the Swiss Air Force. Flying since 1964, the team was known for its Hawker Hunter aircraft until the 1990s, when it switched to the Northrop F-5Es that it currently uses. There are many partnerships between aerobatics teams and watch companies, but perhaps none more perfect than this of Patrouille Suisse and Breitling, the Swiss watchmaking giant known for its prestigious history of pilots watches. This piece is indeed a limited edition Chronomat, sharing a name with one of the earliest and most influential Breitling watches in the second half of the 20th century. Featuring a special patch in the 9 o'clock subdial, and using a superb Swiss movement with an automatic chronograph and a second time zone, this watch celebrates Patrouille Suisse's 50th anniversary.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Patek%20Philippe/Nautilus/5712/1A-001/2999/item/216972,Patek Philippe,Nautilus,Nautilus,5712/1A-001,GBP,144995.00,144995.00,"Retail Price: £37,530",,"
Year
 2012
","
Box
Yes
","

Papers


Yes
","
Product code
216972
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black & Blue
","
Water resistance
100 metres
","
                            Created by Gerald Genta and like many of his famous watches, the Nautilus is a horological legend. Patek Philippe's most well known and desirable sports watch, it's celebrated for some of the best examples of emblematic Genta trademarks: large, angular bezel, comparatively thin case, integrated bracelet and bold, if straightforward, dial. The design is based on the traditional shape of portholes, up to and including the hinges often found on the sides—hence the Nautilus' unmistakable 'ears'. This model brings extra appeal in the form of a stunning movement with several additional complications: a small seconds, a power reserve indicator, and most impressively, a combined date and moonphase display.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Submariner/116610%20LV/16940/item/214789,Rolex,Submariner,Submariner,116610 LV,GBP,25860.00,25860.00,Retail Price: Discontinued,,"
Year
 2014
","
Box
Yes
","

Papers


Yes
","
Product code
214789
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
Green
","
Water resistance
300 metres
","
                            This watch is not just a classic Submariner—one of the most popular and iconic watches in the world—but a striking and highly collectible variant edition. The watch is easily recognisable thanks to its rare green bezel and dial, causing collectors to give it the affectionate nickname “Hulk”, although LV itself stands for Lunette Vert (“Green Bezel”). This larger version updates the previous LV model ref 16610 (called “Kermit”) that was originally introduced in 2003 for the 50th anniversary of the Submariner. This edition boasts ceramic inserts in the bezel, with numerals in platinum.
                            
", ,2022-o5-08,RefurbishedCondition
