Product Url,Brand,Name,Model,Model No,Currency,Price,Final Price,Retail Price,Band Color,Year,Box,Papers,Product Code,Movement,Case Size,Case Material,Bracelet Material,Dial Type,Water Resistance,Watch Details,Watch images,Fetch Date,Condition
http://www.watchfinder.co.uk/Breitling/Chrono%20Avenger/E13360/5707/item/212439,Breitling,Chrono Avenger,Chrono Avenger,E13360,GBP,2750.00,2750.00,Retail Price: Discontinued,,"
Year
 2005
","
Box
Yes
","

Papers


Yes
","
Product code
212439
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Titanium
","
Bracelet material
Titanium (Professional)
","
Dial type
Black Arabic
","
Water resistance
300 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Avenger%20Seawolf/E17370/54748/item/204059,Breitling,Avenger Seawolf,Avenger Seawolf,E17370,GBP,2090.00,2090.00,Retail Price: Discontinued," Blue (Diver Pro III)
","
Year
 2010
","
Box
No
","

Papers


Yes
","
Product code
204059
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Titanium
","
Bracelet material
Rubber - Blue (Diver Pro III)
","
Dial type
Blue Arabic
","
Water resistance
3000 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Zenith/Class%20Elite/03.1125.685/02.C490/52325/item/196814,Zenith,Class Elite,Class Elite,03.1125.685/02.C490,GBP,4310.00,4310.00,Retail Price: Discontinued," Black
","
Year
 2008
","
Box
No
","

Papers


Yes
","
Product code
196814
","

Movement


Automatic
","
Case size
37 MM
","
Case material
Steel
","
Bracelet material
Alligator - Black
","
Dial type
Silver
","
Water resistance
30 metres
","This Zenith has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Omega/De%20Ville%20Ladymatic/425.32.34.20.57.001/53406/item/211232,Omega,De Ville Ladymatic,De Ville Ladymatic,425.32.34.20.57.001,GBP,4900.00,4900.00,Retail Price: Discontinued," Pink 
","
Year
 2021
","
Box
Yes
","

Papers


Yes
","
Product code
211232
","

Movement


Automatic
","
Case size
34 MM
","
Case material
Steel
","
Bracelet material
Leather - Pink 
","
Dial type
Pink Diamond
","
Water resistance
100 metres
","This Omega has undergone a thorough inspection of accuracy, functionality and condition at our Omega certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Emergency/E76321/54735/item/194447,Breitling,Emergency,Emergency,E76321,GBP,3405.00,3405.00,Retail Price: Discontinued," Black (Diver Pro III)
","
Year
Approx.  2009
","
Box
No
","

Papers


No
","
Product code
194447
","

Movement


Quartz
","
Case size
43 MM
","
Case material
Titanium
","
Bracelet material
Rubber - Black (Diver Pro III)
","
Dial type
Black Arabic
","
Water resistance
30 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Luminor%20GMT/PAM00244/54106/item/210439,Panerai,Luminor GMT,Luminor GMT,PAM00244,GBP,5250.00,5250.00,Retail Price: Discontinued," Black
","
Year
 2008
","
Box
Yes
","

Papers


Yes
","
Product code
210439
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Crocodile - Black
","
Dial type
Black Baton
","
Water resistance
300 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Luminor%20Marina/PAM00104/36108/item/207766,Panerai,Luminor Marina,Luminor Marina,PAM00104,GBP,4820.00,4820.00,Retail Price: Discontinued," Black 
","
Year
 2007
","
Box
Yes
","

Papers


Yes
","
Product code
207766
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black 
","
Dial type
Black Baton
","
Water resistance
300 metres
","
                            The Luminor as we know it originated in the early 1990s, when Panerai finally decided to sell its prestigious watches to the civilian market after more than 50 years as a military contractor. These watches somewhat modernised the iconic look while remaining true to the brand's historical aesthetics, adding strong clean lines and new curves to the powerful cushion case, and a crown guard to boost muscle and water resistance. Here the legendary Luminor is available in all its classic glory, staying remarkably true to its historic legacy.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Drive%20De%20Cartier/WSNM0009/30857/item/211757,Cartier,Drive De Cartier,Drive De Cartier,WSNM0009,GBP,4345.00,4345.00,"Retail Price: £5,700"," Black
","
Year
 2016
","
Box
Yes
","

Papers


Yes
","
Product code
211757
","

Movement


Automatic
","
Case size
41 MM
","
Case material
Steel
","
Bracelet material
Alligator - Black
","
Dial type
Black Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Radiomir%20Manual/PAM00514/49048/item/213811,Panerai,Radiomir Manual,Radiomir Manual,PAM00514,GBP,4950.00,4950.00,"Retail Price: £6,700"," Black 
","
Year
 2014
","
Box
Yes
","

Papers


Yes
","
Product code
213811
","

Movement


Manual
","
Case size
47 MM
","
Case material
Steel
","
Bracelet material
Leather - Black 
","
Dial type
Black Baton
","
Water resistance
100 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Rolex/Day-Date%2040/228348%20RBR/31137/item/214107,Rolex,Day-Date 40,Day-Date 40,228348 RBR,GBP,69995.00,69995.00,"Retail Price: £41,920",,"
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
214107
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Yellow Gold set with Diamonds
","
Bracelet material
Yellow Gold (President)
","
Dial type
Champagne Diamond
","
Water resistance
100 metres
","This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
